Tag title,HD folder,Geographical coordinates
"Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica - Law, Isa, bebes - Julio 2006/Aeropuerto","/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica - Law, Isa, bebes - Julio 2006/Aeropuerto/",9.8645;-83.9207
"Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica - Law, Isa, bebes - Julio 2006/Casa Rosibel","/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica - Law, Isa, bebes - Julio 2006/Casa Rosibel/",9.8645;-83.9207
"Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica - Law, Isa, bebes - Julio 2006/Inbio","/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica - Law, Isa, bebes - Julio 2006/Inbio/",9.8645;-83.9207
"Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica - Law, Isa, bebes - Julio 2006/Museo nacional","/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica - Law, Isa, bebes - Julio 2006/Museo nacional/",9.8645;-83.9207
"Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica - Law, Isa, bebes - Julio 2006/Teleferico","/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica - Law, Isa, bebes - Julio 2006/Teleferico/",9.8645;-83.9207
"Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica - Law, Isa, bebes - Julio 2006/Viaje CR jul 06","/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica - Law, Isa, bebes - Julio 2006/Viaje CR jul 06/",9.8645;-83.9207
"Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica Law, Isa-agosto 2003","/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica Law, Isa-agosto 2003/",9.8645;-83.9207
"Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica Law, Isa-agosto 2004/Otras/2004-07 (Jul)-30","/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica Law, Isa-agosto 2004/Otras/2004-07 (Jul)-30/",9.8645;-83.9207
"Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica Law, Isa-agosto 2004/Otras/2004-07 (Jul)-30a","/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica Law, Isa-agosto 2004/Otras/2004-07 (Jul)-30a/",9.8645;-83.9207
"Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica Law, Isa-agosto 2004/Otras/2004-07 (Jul)-31","/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica Law, Isa-agosto 2004/Otras/2004-07 (Jul)-31/",9.8645;-83.9207
"Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica Law, Isa-agosto 2004/Otras/2004-08 (Aug)-02","/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Cartago/La Pitalla/Visitas Lawrence/Visita Costa Rica Law, Isa-agosto 2004/Otras/2004-08 (Aug)-02/",9.8645;-83.9207
